วันที่,หน่วยงาน,รหัสหมวด,ชื่อหมวด,จำนวนเงิน,เลขที่เอกสาร,หมายเหตุ
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,4140.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,20000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2023-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A04,ค่าซ่อมแซมครุภัณฑ์,2514.50,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2023-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A04,ค่าซ่อมแซมครุภัณฑ์,513.60,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2022-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,2000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,2000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2022-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2023-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2023-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,2000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2023-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,10000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2023-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2023-07-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกรกฎาคม
2023-08-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนสิงหาคม
2023-09-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกันยายน
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,6401.81,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,12800.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,4964.80,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,5000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A10,ค่าวัสดุไฟฟ้า,3843.44,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A11,ค่าวัสดุงานบ้านและงานครัว,9993.80,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A13,ค่าพิธีการและพวงมาลา,1000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A16,ค่าเช่าที่ดิน/ที่ราชพัสดุ,545878.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2022-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,12590.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2023-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,8642.28,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,1050.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,20000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2022-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,856.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,893.61,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2022-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,864.13,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
2023-01-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,863.12,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมกราคม
2023-02-28,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,856.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนกุมภาพันธ์
2023-03-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,856.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมีนาคม
2023-04-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,856.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนเมษายน
2023-05-31,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,6856.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤษภาคม
2023-06-30,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,813.20,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนมิถุนายน
2022-10-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,41000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนตุลาคม
2022-11-30,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,41000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนพฤศจิกายน
2022-12-31,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,41000.00,,นำเข้าจากไฟล์ 49(1) · ยอดรวมเดือนธันวาคม
