ปีงบ,หน่วยงาน,รหัสหมวด,ชื่อหมวด,วงเงิน
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,30000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A02,ค่าใช้จ่ายเครื่องถ่ายเอกสาร/ปริ้น,42860.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A04,ค่าซ่อมแซมครุภัณฑ์,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A06,ค่าซ่อมแซมสิ่งก่อสร้าง,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,30000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A10,ค่าวัสดุไฟฟ้า,5000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A11,ค่าวัสดุงานบ้านและงานครัว,10000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A13,ค่าพิธีการและพวงมาลา,3000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A15,ค่าภาษีโรงเรือนและที่ดิน,228400.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A16,ค่าเช่าที่ดิน/ที่ราชพัสดุ,545880.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,70500.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,250000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,15000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,492000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,30000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,12000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-4,ค่าจ้างเหมากำจัดสิ่งปฏิกูล,20000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-5,ค่าจ้างเหมาตัดแต่งกิ่งไม้,5000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-10,ค่าจ้างเหมาบริการทำความสะอาดถังพัก,3000.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-7,ค่าจ้างเหมาเก็บขยะมูลฝอย,1440.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-8,ค่าจ้างเหมาบริการบำรุงรักษาแอร์,19910.00
2566,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,12000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,30000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A02,ค่าใช้จ่ายเครื่องถ่ายเอกสาร/ปริ้น,42860.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A04,ค่าซ่อมแซมครุภัณฑ์,20000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A06,ค่าซ่อมแซมสิ่งก่อสร้าง,20000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A07,ค่าวัสดุเชื้อเพลิง,30000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A08,ค่าวัสดุซ่อมแซมยานพาหนะ,40000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A09,ค่าวัสดุสำนักงาน,30000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A10,ค่าวัสดุไฟฟ้า,10000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A11,ค่าวัสดุงานบ้านและงานครัว,8000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A12,ค่าเบี้ยประกันภัยต่างๆ,7000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A13,ค่าพิธีการและพวงมาลา,3000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A14,ค่าภาษีรถยนต์เเละรถจักรยานยนต์,11000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A15,ค่าภาษีโรงเรือนและที่ดิน,228400.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A16,ค่าเช่าที่ดิน/ที่ราชพัสดุ,545880.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A17,ค่ารับรอง,70500.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,B01,ค่าไฟฟ้า,300000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,B02,ค่าประปา,15000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,B03,ค่าไปรษณีย์,5000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,B04,ค่าโทรศัพท์เเละโทรสาร,20000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-1,ค่าจ้างเหมาบริการรักษาความปลอดภัย,525600.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-2,ค่าจ้างเหมาบริการตัดหญ้า,30000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-3,ค่าจ้างเหมาบริการกำจัดปลวก,12000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-4,ค่าจ้างเหมากำจัดสิ่งปฏิกูล,20000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-5,ค่าจ้างเหมาตัดแต่งกิ่งไม้,8600.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-10,ค่าจ้างเหมาบริการทำความสะอาดถังพัก,3000.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-7,ค่าจ้างเหมาเก็บขยะมูลฝอย,1440.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-8,ค่าจ้างเหมาบริการบำรุงรักษาแอร์,16371.00
2567,ฝศย. ฝ่ายเศรษฐกิจยาง,A03-9,ค่าจ้างเหมาทำความสะอาดรอบอาคาร,12000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A01,ค่าใช้จ่ายเดินทาง,20000.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A02,ค่าใช้จ่ายเครื่องถ่ายเอกสาร/ปริ้น,42860.00
2568,ฝศย. ฝ่ายเศรษฐกิจยาง,A04,ค่าซ่อมแซมครุภัณฑ์,20000.00
